rgn_id,Location,year,value,reference
1,Hawaii,2009,57,HTA
1,Hawaii,2010,57,HTA
1,Hawaii,2011,53.9694,regression
1,Hawaii,2012,49,HTA
1,Hawaii,2013,51.2002,regression
1,Hawaii,2014,51,THA
1,Hawaii,2015,49,THA
2,Maui Nui,2009,57,HTA
2,Maui Nui,2010,57,HTA
2,Maui Nui,2011,53.9694,regression
2,Maui Nui,2012,49,HTA
2,Maui Nui,2013,51.2002,regression
2,Maui Nui,2014,51,THA
2,Maui Nui,2015,49,THA
3,Oahu,2009,57,HTA
3,Oahu,2010,57,HTA
3,Oahu,2011,53.9694,regression
3,Oahu,2012,49,HTA
3,Oahu,2013,51.2002,regression
3,Oahu,2014,51,THA
3,Oahu,2015,49,THA
4,Kauai,2009,57,HTA
4,Kauai,2010,57,HTA
4,Kauai,2011,53.9694,regression
4,Kauai,2012,49,HTA
4,Kauai,2013,51.2002,regression
4,Kauai,2014,51,THA
4,Kauai,2015,49,THA
