year,rgn_id,island,mus,family,species,licenses,catch,stock_key
2013,1,Hawaii,BMUS,Berycidae,Alfonsin,5,54,Alfonsin_BMUS
2014,1,Hawaii,BMUS,Berycidae,Alfonsin,4,16,Alfonsin_BMUS
2012,2,Maui County,BMUS,Carangidae,Butaguchi ulua,6,80,Butaguchi ulua_BMUS
2012,4,Kauai County,BMUS,Carangidae,Butaguchi ulua,8,485,Butaguchi ulua_BMUS
2013,1,Hawaii,BMUS,Carangidae,Butaguchi ulua,3,27,Butaguchi ulua_BMUS
2013,2,Maui County,BMUS,Carangidae,Butaguchi ulua,4,44,Butaguchi ulua_BMUS
2013,4,Kauai County,BMUS,Carangidae,Butaguchi ulua,3,388,Butaguchi ulua_BMUS
2014,2,Penguin Bank,BMUS,Carangidae,Butaguchi ulua,3,62,Butaguchi ulua_BMUS
2014,3,Oahu,BMUS,Carangidae,Butaguchi ulua,4,148,Butaguchi ulua_BMUS
2015,3,Oahu,BMUS,Carangidae,Butaguchi ulua,5,48,Butaguchi ulua_BMUS
2015,4,Kauai County,BMUS,Carangidae,Butaguchi ulua,4,144,Butaguchi ulua_BMUS
2016,2,Maui County,BMUS,Carangidae,Butaguchi ulua,3,105,Butaguchi ulua_BMUS
2012,1,Hawaii,BMUS,Lutjanidae,Ehu,97,"7,838",Ehu_BMUS
2012,2,Maui County,BMUS,Lutjanidae,Ehu,83,"8,582",Ehu_BMUS
2012,2,Penguin Bank,BMUS,Lutjanidae,Ehu,59,"4,956",Ehu_BMUS
2012,3,Oahu,BMUS,Lutjanidae,Ehu,50,"1,688",Ehu_BMUS
2012,4,Kauai County,BMUS,Lutjanidae,Ehu,51,"4,873",Ehu_BMUS
2012,,Other offshore,BMUS,Lutjanidae,Ehu,3,57,Ehu_BMUS
2013,1,Hawaii,BMUS,Lutjanidae,Ehu,93,"11,963",Ehu_BMUS
2013,2,Maui County,BMUS,Lutjanidae,Ehu,78,"10,180",Ehu_BMUS
2013,2,Penguin Bank,BMUS,Lutjanidae,Ehu,56,"5,720",Ehu_BMUS
2013,3,Oahu,BMUS,Lutjanidae,Ehu,46,"1,239",Ehu_BMUS
2013,4,Kauai County,BMUS,Lutjanidae,Ehu,40,"3,195",Ehu_BMUS
2014,1,Hawaii,BMUS,Lutjanidae,Ehu,96,"7,959",Ehu_BMUS
2014,2,Maui County,BMUS,Lutjanidae,Ehu,78,"11,005",Ehu_BMUS
2014,2,Penguin Bank,BMUS,Lutjanidae,Ehu,48,"4,503",Ehu_BMUS
2014,3,Oahu,BMUS,Lutjanidae,Ehu,40,"1,520",Ehu_BMUS
2014,4,Kauai County,BMUS,Lutjanidae,Ehu,39,"3,567",Ehu_BMUS
2015,1,Hawaii,BMUS,Lutjanidae,Ehu,74,"11,090",Ehu_BMUS
2015,2,Maui County,BMUS,Lutjanidae,Ehu,66,"11,156",Ehu_BMUS
2015,2,Penguin Bank,BMUS,Lutjanidae,Ehu,45,"3,435",Ehu_BMUS
2015,3,Oahu,BMUS,Lutjanidae,Ehu,44,"2,204",Ehu_BMUS
2015,4,Kauai County,BMUS,Lutjanidae,Ehu,34,"3,476",Ehu_BMUS
2016,1,Hawaii,BMUS,Lutjanidae,Ehu,74,"6,124",Ehu_BMUS
2016,2,Maui County,BMUS,Lutjanidae,Ehu,67,"14,205",Ehu_BMUS
2016,2,Penguin Bank,BMUS,Lutjanidae,Ehu,40,"4,176",Ehu_BMUS
2016,3,Oahu,BMUS,Lutjanidae,Ehu,44,"1,974",Ehu_BMUS
2016,4,Kauai County,BMUS,Lutjanidae,Ehu,33,"4,182",Ehu_BMUS
2012,1,Hawaii,BMUS,Lutjanidae,Gindai,72,"1,671",Gindai_BMUS
2012,2,Maui County,BMUS,Lutjanidae,Gindai,29,218,Gindai_BMUS
2012,2,Penguin Bank,BMUS,Lutjanidae,Gindai,32,423,Gindai_BMUS
2012,3,Oahu,BMUS,Lutjanidae,Gindai,24,153,Gindai_BMUS
2012,4,Kauai County,BMUS,Lutjanidae,Gindai,47,"1,330",Gindai_BMUS
2013,1,Hawaii,BMUS,Lutjanidae,Gindai,73,"2,035",Gindai_BMUS
2013,2,Maui County,BMUS,Lutjanidae,Gindai,23,212,Gindai_BMUS
2013,2,Penguin Bank,BMUS,Lutjanidae,Gindai,25,416,Gindai_BMUS
2013,3,Oahu,BMUS,Lutjanidae,Gindai,19,103,Gindai_BMUS
2013,4,Kauai County,BMUS,Lutjanidae,Gindai,30,882,Gindai_BMUS
2014,1,Hawaii,BMUS,Lutjanidae,Gindai,61,"1,505",Gindai_BMUS
2014,2,Maui County,BMUS,Lutjanidae,Gindai,21,224,Gindai_BMUS
2014,2,Penguin Bank,BMUS,Lutjanidae,Gindai,23,324,Gindai_BMUS
2014,3,Oahu,BMUS,Lutjanidae,Gindai,18,73,Gindai_BMUS
2014,4,Kauai County,BMUS,Lutjanidae,Gindai,30,926,Gindai_BMUS
2015,1,Hawaii,BMUS,Lutjanidae,Gindai,49,"1,229",Gindai_BMUS
2015,2,Maui County,BMUS,Lutjanidae,Gindai,27,214,Gindai_BMUS
2015,2,Penguin Bank,BMUS,Lutjanidae,Gindai,26,213,Gindai_BMUS
2015,3,Oahu,BMUS,Lutjanidae,Gindai,16,158,Gindai_BMUS
2015,4,Kauai County,BMUS,Lutjanidae,Gindai,24,502,Gindai_BMUS
2016,1,Hawaii,BMUS,Lutjanidae,Gindai,58,841,Gindai_BMUS
2016,2,Maui County,BMUS,Lutjanidae,Gindai,15,119,Gindai_BMUS
2016,2,Penguin Bank,BMUS,Lutjanidae,Gindai,22,295,Gindai_BMUS
2016,3,Oahu,BMUS,Lutjanidae,Gindai,22,177,Gindai_BMUS
2016,4,Kauai County,BMUS,Lutjanidae,Gindai,22,761,Gindai_BMUS
2012,1,Hawaii,BMUS,Carangidae,Gunkan ulua,3,60,Gunkan ulua_BMUS
2012,2,Maui County,BMUS,Carangidae,Gunkan ulua,3,88,Gunkan ulua_BMUS
2012,3,Oahu,BMUS,Carangidae,Gunkan ulua,6,194,Gunkan ulua_BMUS
2012,4,Kauai County,BMUS,Carangidae,Gunkan ulua,5,140,Gunkan ulua_BMUS
2013,1,Hawaii,BMUS,Carangidae,Gunkan ulua,5,132,Gunkan ulua_BMUS
2013,4,Kauai County,BMUS,Carangidae,Gunkan ulua,6,486,Gunkan ulua_BMUS
2014,2,Maui County,BMUS,Carangidae,Gunkan ulua,3,100,Gunkan ulua_BMUS
2014,4,Kauai County,BMUS,Carangidae,Gunkan ulua,5,216,Gunkan ulua_BMUS
2015,4,Kauai County,BMUS,Carangidae,Gunkan ulua,5,143,Gunkan ulua_BMUS
2016,1,Hawaii,BMUS,Carangidae,Gunkan ulua,3,140,Gunkan ulua_BMUS
2016,4,Kauai County,BMUS,Carangidae,Gunkan ulua,3,130,Gunkan ulua_BMUS
2012,1,Hawaii,BMUS,Serranidae,Hapuupuu,54,"2,749",Hapuupuu_BMUS
2012,2,Maui County,BMUS,Serranidae,Hapuupuu,42,"1,759",Hapuupuu_BMUS
2012,2,Penguin Bank,BMUS,Serranidae,Hapuupuu,29,735,Hapuupuu_BMUS
2012,3,Oahu,BMUS,Serranidae,Hapuupuu,19,500,Hapuupuu_BMUS
2012,4,Kauai County,BMUS,Serranidae,Hapuupuu,30,"1,822",Hapuupuu_BMUS
2012,,Other offshore,BMUS,Serranidae,Hapuupuu,3,"3,186",Hapuupuu_BMUS
2013,1,Hawaii,BMUS,Serranidae,Hapuupuu,58,"3,363",Hapuupuu_BMUS
2013,2,Maui County,BMUS,Serranidae,Hapuupuu,42,"2,542",Hapuupuu_BMUS
2013,2,Penguin Bank,BMUS,Serranidae,Hapuupuu,15,551,Hapuupuu_BMUS
2013,3,Oahu,BMUS,Serranidae,Hapuupuu,24,398,Hapuupuu_BMUS
2013,4,Kauai County,BMUS,Serranidae,Hapuupuu,23,"2,265",Hapuupuu_BMUS
2014,1,Hawaii,BMUS,Serranidae,Hapuupuu,49,"2,050",Hapuupuu_BMUS
2014,2,Maui County,BMUS,Serranidae,Hapuupuu,45,"1,988",Hapuupuu_BMUS
2014,2,Penguin Bank,BMUS,Serranidae,Hapuupuu,14,419,Hapuupuu_BMUS
2014,3,Oahu,BMUS,Serranidae,Hapuupuu,21,450,Hapuupuu_BMUS
2014,4,Kauai County,BMUS,Serranidae,Hapuupuu,21,"3,178",Hapuupuu_BMUS
2014,,Other offshore,BMUS,Serranidae,Hapuupuu,4,"1,855",Hapuupuu_BMUS
2015,1,Hawaii,BMUS,Serranidae,Hapuupuu,39,"2,623",Hapuupuu_BMUS
2015,2,Maui County,BMUS,Serranidae,Hapuupuu,38,"2,720",Hapuupuu_BMUS
2015,2,Penguin Bank,BMUS,Serranidae,Hapuupuu,12,229,Hapuupuu_BMUS
2015,3,Oahu,BMUS,Serranidae,Hapuupuu,22,803,Hapuupuu_BMUS
2015,4,Kauai County,BMUS,Serranidae,Hapuupuu,24,"1,654",Hapuupuu_BMUS
2016,1,Hawaii,BMUS,Serranidae,Hapuupuu,45,"2,452",Hapuupuu_BMUS
2016,2,Maui County,BMUS,Serranidae,Hapuupuu,34,"1,904",Hapuupuu_BMUS
2016,2,Penguin Bank,BMUS,Serranidae,Hapuupuu,19,546,Hapuupuu_BMUS
2016,3,Oahu,BMUS,Serranidae,Hapuupuu,21,625,Hapuupuu_BMUS
2016,4,Kauai County,BMUS,Serranidae,Hapuupuu,17,"2,602",Hapuupuu_BMUS
2012,1,Hawaii,BMUS,Carangidae,Kahala,35,"1,322",Kahala_BMUS
2012,2,Maui County,BMUS,Carangidae,Kahala,25,"1,955",Kahala_BMUS
2012,2,Penguin Bank,BMUS,Carangidae,Kahala,24,"1,729",Kahala_BMUS
2012,3,Oahu,BMUS,Carangidae,Kahala,36,"3,901",Kahala_BMUS
2012,4,Kauai County,BMUS,Carangidae,Kahala,41,"8,687",Kahala_BMUS
2013,1,Hawaii,BMUS,Carangidae,Kahala,34,"2,077",Kahala_BMUS
2013,2,Maui County,BMUS,Carangidae,Kahala,27,"1,229",Kahala_BMUS
2013,2,Penguin Bank,BMUS,Carangidae,Kahala,24,"1,071",Kahala_BMUS
2013,3,Oahu,BMUS,Carangidae,Kahala,36,"2,798",Kahala_BMUS
2013,4,Kauai County,BMUS,Carangidae,Kahala,29,"6,019",Kahala_BMUS
2014,1,Hawaii,BMUS,Carangidae,Kahala,26,"1,152",Kahala_BMUS
2014,2,Maui County,BMUS,Carangidae,Kahala,17,823,Kahala_BMUS
