rgn_id,P,L,R,G,SS,C,km2_island,total_km2_island,percent_island
1,1449486125,697900726.9,3044368235,270660217.8,0,0,5462.415305,10454.12307,0.522513009
2,411582480,149869707.4,693427004.3,44737226.09,0,0,1299.616418,3041.767918,0.427256929
3,145395984.8,44737226.09,369082115.2,87237590.87,2236861.304,4473722.609,653.1635009,1556.616915,0.419604525
4,337766056.9,53684671.3,411582480,4473722.609,4473722.609,2236861.304,814.2175148,1625.849518,0.500795126
