rgn_id,condist,km2,total_coastal_km2
1,P,24.56637269,507.7281544
2,P,44.66613216,531.0963958
3,P,2.233306608,280.418897
4,P,4.466613216,231.5580286
1,L,17.86645287,507.7281544
2,L,66.99919824,531.0963958
3,L,22.33306608,280.418897
4,L,15.63314626,231.5580286
1,R,125.0651701,507.7281544
2,R,73.69911807,531.0963958
3,R,13.39983965,280.418897
4,R,13.39983965,231.5580286
1,G,20.09975947,507.7281544
2,G,24.56637269,531.0963958
3,G,20.09975947,280.418897
4,G,6.699919824,231.5580286
1,SS,0,507.7281544
2,SS,0,531.0963958
3,SS,0,280.418897
4,SS,2.233306608,231.5580286
