rgn_id,P,L,R,G,SS,C,km2_coast,total_coastal_km2,percent_coast
1,24566372.69,17866452.87,125065170.1,20099759.47,0,0,187.5977551,507.7281544,0.369484641
2,44666132.16,66999198.24,73699118.07,24566372.69,0,0,209.9308212,531.0963958,0.395278188
3,2233306.608,22333066.08,13399839.65,20099759.47,0,0,58.06597181,280.418897,0.207068683
4,4466613.216,15633146.26,13399839.65,6699919.824,2233306.608,2233306.608,44.66613216,231.5580286,0.192893904
