rgn_id,condist,km2,total_km2_island
1,P,1449.486125,10454.12307
2,P,411.58248,3041.767918
3,P,145.3959848,1556.616915
4,P,337.7660569,1625.849518
1,L,697.9007269,10454.12307
2,L,149.8697074,3041.767918
3,L,44.73722609,1556.616915
4,L,53.6846713,1625.849518
1,R,3044.368235,10454.12307
2,R,693.4270043,3041.767918
3,R,369.0821152,1556.616915
4,R,411.58248,1625.849518
1,G,270.6602178,10454.12307
2,G,44.73722609,3041.767918
3,G,87.23759087,1556.616915
4,G,4.473722609,1625.849518
1,SS,0,10454.12307
2,SS,0,3041.767918
3,SS,2.236861304,1556.616915
4,SS,4.473722609,1625.849518
