rgn_id,res_score,reference
1,0.128,ORMP dashboard: percent of wastewater recycled
2,0.128,ORMP dashboard: percent of wastewater recycled
3,0.128,ORMP dashboard: percent of wastewater recycled
4,0.128,ORMP dashboard: percent of wastewater recycled
