goal,element,res_shoreline_access_points,res_adoption_CCA,res_wastewater_recycled,res_makai_watch,res_commercial_fis_compliance,res_fishpond_restoration,res_shoreline_access,hd_watersheds,res_hab_health,sp_OHA_culture,watershed_partnerships,hd_MPA_3nm,hd_MPA_eez,fp_MPA_3nm,fp_MPA_eez,fp_mora,tourism_experience,g_cites,wgi_all,res_spi,li_economic_index
AO,,x,,,x,,,x,x,x,,,x,,x,,x,,,,,
CP,reef,,,,,,,,x,,x,x,x,,,,,,,,,
CP,beach,,x,x,,,,,x,,x,,x,,,,,,,,,
CP,wetland,,x,x,,,,,x,,x,x,x,,,,,,,,,
CS,wetland,,x,x,,,,,x,,x,x,x,,,,,,,,,
CW,,,,x,,,,,x,x,,,,,,,,,,,,
ECO,,,x,x,,,,,x,x,,,,,x,,,,,,,x
FIS,,,,,,x,,,,,,,,x,x,x,x,,,,,
HAB,reef,,,x,,,,,x,,x,x,x,,,,,,,,,
HAB,wetland,,,x,,,,,x,,x,x,x,,,,,,,,,
HAB,beach,,,x,,,,,x,,x,,x,,,,,,,,,
HAB,soft_bottom,,,x,,,,,x,,x,,x,x,,x,x,,,,,
SPP,,,,x,,,,,x,x,x,,x,x,,x,x,,x,,,
LIV,,,x,x,,,,,x,x,,,,,,x,,x,,,,x
MAR,,,,x,,,x,,,x,,,,,,,,,,,,
TR,,,,x,,,,,,x,,x,x,x,x,x,,x,,,,
RC,,x,,x,,,,,,x,,x,x,,,,,,,,,
