year,rgn_id,island,code,mus,family,species,licenses,catch
2012,1,Hawaii,R,CHCRT,Acanthuridae,Api,5,35
2013,1,Hawaii,R,CHCRT,Acanthuridae,Api,3,21
2014,1,Hawaii,R,CHCRT,Acanthuridae,Api,4,59
2015,1,Hawaii,R,CHCRT,Acanthuridae,Api,4,41
2012,3,Oahu,R,CHCRT,Acanthuridae,Api,4,64
2013,3,Oahu,R,CHCRT,Acanthuridae,Api,4,84
2012,1,Hawaii,R,PHCRT,Acanthuridae,Black kole,5,194
2013,1,Hawaii,R,PHCRT,Acanthuridae,Black kole,3,97
2016,1,Hawaii,R,PHCRT,Acanthuridae,Black kole,4,24
2012,1,Hawaii,R,CHCRT,Acanthuridae,Kala,16,348
2013,1,Hawaii,R,CHCRT,Acanthuridae,Kala,12,432
2014,1,Hawaii,R,CHCRT,Acanthuridae,Kala,8,68
2015,1,Hawaii,R,CHCRT,Acanthuridae,Kala,11,191
2016,1,Hawaii,R,CHCRT,Acanthuridae,Kala,7,394
2012,2,Maui County,R,CHCRT,Acanthuridae,Kala,11,6601
2013,2,Maui County,R,CHCRT,Acanthuridae,Kala,12,6595
2014,2,Maui County,R,CHCRT,Acanthuridae,Kala,13,5284
2015,2,Maui County,R,CHCRT,Acanthuridae,Kala,11,4878
2016,2,Maui County,R,CHCRT,Acanthuridae,Kala,9,4279
2012,3,Oahu,R,CHCRT,Acanthuridae,Kala,40,35166
2013,3,Oahu,R,CHCRT,Acanthuridae,Kala,39,24982
2014,3,Oahu,R,CHCRT,Acanthuridae,Kala,37,24676
2015,3,Oahu,R,CHCRT,Acanthuridae,Kala,23,16625
2016,3,Oahu,R,CHCRT,Acanthuridae,Kala,24,12640
2015,4,Kauai County,R,CHCRT,Acanthuridae,Kala,3,217
2012,1,Hawaii,R,CHCRT,Acanthuridae,Kole,23,1619
2013,1,Hawaii,R,CHCRT,Acanthuridae,Kole,16,1393
2014,1,Hawaii,R,CHCRT,Acanthuridae,Kole,16,1882
2015,1,Hawaii,R,CHCRT,Acanthuridae,Kole,12,347
2016,1,Hawaii,R,CHCRT,Acanthuridae,Kole,12,658
2012,2,Maui County,R,CHCRT,Acanthuridae,Kole,12,2485
2013,2,Maui County,R,CHCRT,Acanthuridae,Kole,9,993
2014,2,Maui County,R,CHCRT,Acanthuridae,Kole,12,590
2015,2,Maui County,R,CHCRT,Acanthuridae,Kole,6,776
2016,2,Maui County,R,CHCRT,Acanthuridae,Kole,3,407
2012,3,Oahu,R,CHCRT,Acanthuridae,Kole,8,65
2013,3,Oahu,R,CHCRT,Acanthuridae,Kole,12,346
2014,3,Oahu,R,CHCRT,Acanthuridae,Kole,7,660
2015,3,Oahu,R,CHCRT,Acanthuridae,Kole,10,291
2016,3,Oahu,R,CHCRT,Acanthuridae,Kole,3,128
2012,1,Hawaii,R,CHCRT,Acanthuridae,Maiko,12,234
2013,1,Hawaii,R,CHCRT,Acanthuridae,Maiko,6,63
2014,1,Hawaii,R,CHCRT,Acanthuridae,Maiko,7,194
2015,1,Hawaii,R,CHCRT,Acanthuridae,Maiko,6,99
2016,1,Hawaii,R,CHCRT,Acanthuridae,Maiko,4,43
2012,3,Oahu,R,CHCRT,Acanthuridae,Maiko,19,2047
2013,3,Oahu,R,CHCRT,Acanthuridae,Maiko,23,3437
2014,3,Oahu,R,CHCRT,Acanthuridae,Maiko,13,1229
2015,3,Oahu,R,CHCRT,Acanthuridae,Maiko,10,350
2016,3,Oahu,R,CHCRT,Acanthuridae,Maiko,8,909
2012,1,Hawaii,R,CHCRT,Acanthuridae,Manini,23,1882
2013,1,Hawaii,R,CHCRT,Acanthuridae,Manini,12,2655
2014,1,Hawaii,R,CHCRT,Acanthuridae,Manini,15,1693
2015,1,Hawaii,R,CHCRT,Acanthuridae,Manini,13,629
2016,1,Hawaii,R,CHCRT,Acanthuridae,Manini,12,549
2012,2,Maui County,R,CHCRT,Acanthuridae,Manini,17,4022
2013,2,Maui County,R,CHCRT,Acanthuridae,Manini,8,3226
2014,2,Maui County,R,CHCRT,Acanthuridae,Manini,11,2156
2015,2,Maui County,R,CHCRT,Acanthuridae,Manini,12,2284
2016,2,Maui County,R,CHCRT,Acanthuridae,Manini,8,2814
2012,3,Oahu,R,CHCRT,Acanthuridae,Manini,40,8512
2013,3,Oahu,R,CHCRT,Acanthuridae,Manini,43,9192
2014,3,Oahu,R,CHCRT,Acanthuridae,Manini,34,7632
2015,3,Oahu,R,CHCRT,Acanthuridae,Manini,35,6173
2016,3,Oahu,R,CHCRT,Acanthuridae,Manini,25,5061
2015,4,Kauai County,R,CHCRT,Acanthuridae,Manini,4,29
2012,1,Hawaii,R,CHCRT,Acanthuridae,Naenae,9,77
2013,1,Hawaii,R,CHCRT,Acanthuridae,Naenae,5,110
2012,2,Maui County,R,CHCRT,Acanthuridae,Naenae,3,525
2012,3,Oahu,R,CHCRT,Acanthuridae,Naenae,32,8302
2013,3,Oahu,R,CHCRT,Acanthuridae,Naenae,36,7887
2014,3,Oahu,R,CHCRT,Acanthuridae,Naenae,25,7965
2015,3,Oahu,R,CHCRT,Acanthuridae,Naenae,22,4213
2016,3,Oahu,R,CHCRT,Acanthuridae,Naenae,17,3094
2012,1,Hawaii,R,CHCRT,Acanthuridae,Opelu kala,26,2148
2013,1,Hawaii,R,CHCRT,Acanthuridae,Opelu kala,25,2873
2014,1,Hawaii,R,CHCRT,Acanthuridae,Opelu kala,22,919
2015,1,Hawaii,R,CHCRT,Acanthuridae,Opelu kala,18,654
2016,1,Hawaii,R,CHCRT,Acanthuridae,Opelu kala,15,341
2012,2,Maui County,R,CHCRT,Acanthuridae,Opelu kala,4,128
2013,2,Maui County,R,CHCRT,Acanthuridae,Opelu kala,5,644
2014,2,Maui County,R,CHCRT,Acanthuridae,Opelu kala,4,110
2015,2,Maui County,R,CHCRT,Acanthuridae,Opelu kala,3,116
2016,2,Maui County,R,CHCRT,Acanthuridae,Opelu kala,5,373
2012,3,Oahu,R,CHCRT,Acanthuridae,Opelu kala,22,2974
2013,3,Oahu,R,CHCRT,Acanthuridae,Opelu kala,17,4668
2014,3,Oahu,R,CHCRT,Acanthuridae,Opelu kala,16,1723
2015,3,Oahu,R,CHCRT,Acanthuridae,Opelu kala,9,2676
2016,3,Oahu,R,CHCRT,Acanthuridae,Opelu kala,3,2291
2012,1,Hawaii,R,CHCRT,Acanthuridae,Pakuikui (tang),7,308
2013,1,Hawaii,R,CHCRT,Acanthuridae,Pakuikui (tang),9,403
2014,1,Hawaii,R,CHCRT,Acanthuridae,Pakuikui (tang),6,190
2015,1,Hawaii,R,CHCRT,Acanthuridae,Pakuikui (tang),3,112
2016,1,Hawaii,R,CHCRT,Acanthuridae,Pakuikui (tang),6,67
2013,3,Oahu,R,CHCRT,Acanthuridae,Pakuikui (tang),3,21
